epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.0298,1.77666,1.38327,1.06565,0.82742,0.74337,0.81125,0.47338,1.58461,1.02592,1.02387,0.000554042,0.000554042,0.000554042
2,98.1899,1.65845,0.94953,1.03849,0.87568,0.74231,0.83709,0.48324,1.59557,0.90109,1.03423,0.00109872,0.00109872,0.00109872
3,145.426,1.63614,0.88344,1.04026,0.88756,0.78747,0.86541,0.4943,1.55391,0.85565,1.02459,0.0016324,0.0016324,0.0016324
4,191.467,1.62821,0.84942,1.0361,0.88343,0.80819,0.87336,0.51483,1.54164,0.77699,1.02184,0.00161749,0.00161749,0.00161749
5,242.982,1.6079,0.81878,1.02583,0.86116,0.77748,0.86885,0.5113,1.51693,0.80605,1.01554,0.00160099,0.00160099,0.00160099
6,289.13,1.5887,0.79594,1.02262,0.90249,0.82193,0.8924,0.53558,1.50918,0.7185,1.01406,0.00158448,0.00158448,0.00158448
7,335.693,1.58711,0.79353,1.01761,0.91252,0.81554,0.89493,0.53895,1.49544,0.74101,1.00917,0.00156798,0.00156798,0.00156798
8,381.815,1.57032,0.77742,1.01705,0.90584,0.81799,0.89452,0.54472,1.49224,0.71734,1.00267,0.00155148,0.00155148,0.00155148
9,428.247,1.56304,0.75232,1.01678,0.90189,0.83026,0.89711,0.55141,1.4656,0.68988,1.00177,0.00153497,0.00153497,0.00153497
10,474.802,1.552,0.74606,1.00785,0.90695,0.84123,0.90663,0.55747,1.47336,0.711,1.00205,0.00151847,0.00151847,0.00151847
11,521.932,1.54847,0.73653,1.00842,0.92417,0.84671,0.91342,0.56383,1.4674,0.68431,0.99826,0.00150197,0.00150197,0.00150197
12,568.187,1.53672,0.73398,1.00722,0.91927,0.8241,0.90198,0.55685,1.47695,0.67742,1.00031,0.00148546,0.00148546,0.00148546
13,614.609,1.52984,0.72971,1.00954,0.91799,0.84683,0.91554,0.57091,1.45361,0.65903,0.99641,0.00146896,0.00146896,0.00146896
14,660.869,1.52339,0.71613,1.00327,0.90951,0.8265,0.89767,0.54978,1.46659,0.68008,1.00168,0.00145246,0.00145246,0.00145246
15,707.316,1.51426,0.71681,1.0059,0.91778,0.8337,0.90523,0.55359,1.47514,0.67311,1.00369,0.00143595,0.00143595,0.00143595
16,753.698,1.51728,0.70473,0.99967,0.91188,0.84549,0.91503,0.55918,1.45411,0.64979,0.99807,0.00141945,0.00141945,0.00141945
17,801.848,1.51568,0.70532,0.99996,0.91519,0.8543,0.91927,0.57509,1.44721,0.64949,0.98898,0.00140295,0.00140295,0.00140295
18,851.415,1.50946,0.69873,0.99979,0.92001,0.85231,0.92163,0.57146,1.44482,0.65257,0.99154,0.00138644,0.00138644,0.00138644
19,897.615,1.49356,0.68883,0.99355,0.92863,0.8443,0.91752,0.57231,1.44109,0.63653,0.99133,0.00136994,0.00136994,0.00136994
20,944.019,1.49522,0.69191,0.9979,0.93156,0.84942,0.9194,0.57576,1.42944,0.63359,0.98703,0.00135344,0.00135344,0.00135344
21,990.422,1.50413,0.68502,0.99121,0.90621,0.85955,0.91857,0.57285,1.43727,0.63461,0.99122,0.00133693,0.00133693,0.00133693
22,1036.56,1.48612,0.68379,0.9951,0.92018,0.85411,0.92011,0.5723,1.43334,0.63812,0.98882,0.00132043,0.00132043,0.00132043
23,1083.21,1.48032,0.67704,0.98918,0.93343,0.85213,0.92172,0.57816,1.44193,0.62553,0.98962,0.00130393,0.00130393,0.00130393
24,1130.54,1.48063,0.67637,0.98904,0.92819,0.85283,0.92106,0.5842,1.42155,0.62061,0.98285,0.00128742,0.00128742,0.00128742
25,1176.65,1.48927,0.67463,0.9899,0.92063,0.85964,0.92127,0.57512,1.44205,0.62835,0.9909,0.00127092,0.00127092,0.00127092
26,1226.61,1.48516,0.67179,0.9878,0.92237,0.86978,0.93034,0.58735,1.42461,0.6193,0.98728,0.00125442,0.00125442,0.00125442
27,1276.9,1.48191,0.67029,0.98636,0.92259,0.8663,0.9255,0.58459,1.41467,0.62105,0.98104,0.00123791,0.00123791,0.00123791
28,1327.21,1.47243,0.66073,0.98643,0.92536,0.86671,0.92744,0.58731,1.42092,0.61207,0.98219,0.00122141,0.00122141,0.00122141
29,1374.38,1.48125,0.66574,0.98555,0.93666,0.84629,0.9182,0.58156,1.41977,0.61833,0.9812,0.00120491,0.00120491,0.00120491
30,1422.37,1.48169,0.66511,0.98457,0.91892,0.85396,0.92746,0.5865,1.41861,0.61924,0.98327,0.0011884,0.0011884,0.0011884
31,1470.11,1.46886,0.65649,0.98354,0.93204,0.86192,0.92366,0.58345,1.42465,0.61441,0.98367,0.0011719,0.0011719,0.0011719
32,1518,1.4672,0.65684,0.98067,0.9307,0.86973,0.92969,0.58572,1.41422,0.61309,0.9816,0.0011554,0.0011554,0.0011554
33,1567.49,1.46532,0.65491,0.9833,0.92078,0.87925,0.93094,0.58997,1.40638,0.60899,0.97964,0.00113889,0.00113889,0.00113889
34,1616.17,1.45497,0.64907,0.97803,0.92029,0.87303,0.92696,0.58715,1.41878,0.6106,0.98375,0.00112239,0.00112239,0.00112239
35,1664.67,1.4595,0.64755,0.97832,0.92796,0.86481,0.93019,0.59135,1.4064,0.6046,0.97925,0.00110589,0.00110589,0.00110589
36,1712.96,1.45809,0.64611,0.97921,0.93274,0.86406,0.93081,0.58929,1.40791,0.60047,0.97831,0.00108938,0.00108938,0.00108938
37,1760.86,1.45204,0.63844,0.98057,0.92693,0.87148,0.93427,0.59407,1.40116,0.59861,0.97703,0.00107288,0.00107288,0.00107288
38,1808.82,1.44862,0.63596,0.97776,0.93711,0.86146,0.92952,0.59104,1.4065,0.59479,0.97881,0.00105638,0.00105638,0.00105638
39,1856.3,1.44639,0.63732,0.9742,0.93139,0.86646,0.92935,0.59266,1.4039,0.59411,0.97744,0.00103987,0.00103987,0.00103987
40,1905.25,1.45513,0.63884,0.97958,0.93189,0.86893,0.93412,0.59447,1.40583,0.59126,0.97686,0.00102337,0.00102337,0.00102337
41,1954.14,1.44898,0.63669,0.97688,0.92984,0.878,0.93387,0.59493,1.39832,0.59265,0.97318,0.00100687,0.00100687,0.00100687
42,2002.34,1.43937,0.6308,0.97821,0.92294,0.87781,0.93422,0.59505,1.40229,0.5898,0.97643,0.000990365,0.000990365,0.000990365
43,2050.66,1.44036,0.63337,0.97918,0.92469,0.87888,0.93405,0.59532,1.39928,0.59017,0.97459,0.000973861,0.000973861,0.000973861
44,2097.7,1.44407,0.63079,0.97378,0.92678,0.87384,0.93348,0.59553,1.40334,0.59386,0.97808,0.000957358,0.000957358,0.000957358
45,2144.33,1.43808,0.62701,0.97508,0.93212,0.86599,0.93149,0.59346,1.39759,0.58793,0.97648,0.000940855,0.000940855,0.000940855
46,2190.74,1.43808,0.62794,0.97084,0.92522,0.8812,0.93431,0.59649,1.39242,0.57993,0.97578,0.000924352,0.000924352,0.000924352
47,2236.87,1.43633,0.62271,0.97157,0.92886,0.87986,0.93353,0.59634,1.39586,0.58151,0.97405,0.000907848,0.000907848,0.000907848
48,2282.79,1.4364,0.62194,0.97045,0.93782,0.87241,0.93519,0.5951,1.39783,0.58485,0.97672,0.000891345,0.000891345,0.000891345
49,2329.14,1.43305,0.62253,0.97059,0.92875,0.87846,0.93858,0.60152,1.39411,0.57968,0.97389,0.000874842,0.000874842,0.000874842
50,2374.77,1.42782,0.62043,0.9694,0.92008,0.8874,0.93596,0.59842,1.39761,0.58143,0.97527,0.000858338,0.000858338,0.000858338
51,2421.09,1.43008,0.6176,0.97107,0.92772,0.87944,0.93856,0.60111,1.39158,0.57968,0.97388,0.000841835,0.000841835,0.000841835
52,2467.01,1.41937,0.61618,0.96975,0.92023,0.89109,0.93552,0.60184,1.38896,0.57598,0.97406,0.000825332,0.000825332,0.000825332
53,2512.51,1.4224,0.6148,0.96833,0.92426,0.87912,0.93645,0.59858,1.39038,0.57582,0.97385,0.000808828,0.000808828,0.000808828
54,2558.74,1.42438,0.61294,0.96877,0.92556,0.88119,0.93711,0.60145,1.393,0.57937,0.97349,0.000792325,0.000792325,0.000792325
55,2606.27,1.4171,0.60764,0.96562,0.92503,0.88352,0.93614,0.60238,1.39044,0.57479,0.97239,0.000775822,0.000775822,0.000775822
56,2654.69,1.4242,0.61352,0.96365,0.92473,0.8817,0.93893,0.60341,1.39413,0.5755,0.97555,0.000759318,0.000759318,0.000759318
57,2700.03,1.40509,0.60472,0.96703,0.92954,0.88108,0.93789,0.6042,1.3885,0.57386,0.97115,0.000742815,0.000742815,0.000742815
58,2745.63,1.41425,0.60756,0.96517,0.93389,0.87883,0.93684,0.60395,1.38878,0.57236,0.97155,0.000726312,0.000726312,0.000726312
59,2791.28,1.42303,0.60435,0.96235,0.92652,0.88138,0.9372,0.6002,1.39152,0.57434,0.97287,0.000709809,0.000709809,0.000709809
60,2836.85,1.4169,0.60703,0.96535,0.92949,0.88053,0.93936,0.60164,1.3899,0.57119,0.97511,0.000693305,0.000693305,0.000693305
61,2882.3,1.408,0.60084,0.96169,0.92341,0.88388,0.9366,0.60338,1.39215,0.57183,0.97318,0.000676802,0.000676802,0.000676802
62,2928.2,1.40499,0.59733,0.96457,0.92447,0.88381,0.93784,0.60245,1.38851,0.57239,0.9741,0.000660299,0.000660299,0.000660299
63,2973.6,1.401,0.59782,0.96438,0.93452,0.87694,0.93608,0.60367,1.38931,0.57134,0.97031,0.000643795,0.000643795,0.000643795
64,3019.15,1.38811,0.59114,0.95787,0.92777,0.88385,0.93745,0.60588,1.38646,0.57049,0.97107,0.000627292,0.000627292,0.000627292
65,3065.17,1.40602,0.5954,0.96181,0.92773,0.87889,0.93765,0.60331,1.38872,0.56985,0.97313,0.000610789,0.000610789,0.000610789
66,3110.7,1.39217,0.58947,0.96036,0.92978,0.87709,0.93906,0.60536,1.39177,0.56872,0.97225,0.000594286,0.000594286,0.000594286
67,3156.36,1.40339,0.59329,0.96203,0.92386,0.88063,0.93867,0.60644,1.3861,0.56739,0.97114,0.000577782,0.000577782,0.000577782
68,3201.97,1.39713,0.58972,0.95971,0.9246,0.88639,0.93873,0.60537,1.38441,0.56678,0.97025,0.000561279,0.000561279,0.000561279
69,3248,1.39763,0.58987,0.95952,0.92386,0.88344,0.93902,0.6053,1.38295,0.56578,0.97039,0.000544776,0.000544776,0.000544776
70,3293.5,1.38373,0.58652,0.95506,0.92815,0.88345,0.93818,0.60569,1.38529,0.56648,0.97207,0.000528272,0.000528272,0.000528272
71,3338.95,1.39398,0.58947,0.95884,0.92544,0.88626,0.9378,0.60508,1.38331,0.56409,0.96989,0.000511769,0.000511769,0.000511769
72,3384.77,1.38739,0.58753,0.95706,0.94054,0.87665,0.93798,0.60604,1.38428,0.56443,0.97062,0.000495266,0.000495266,0.000495266
73,3430.03,1.39342,0.58654,0.95706,0.9319,0.88661,0.93902,0.60699,1.38643,0.56375,0.97142,0.000478762,0.000478762,0.000478762
74,3475.95,1.3867,0.58402,0.95518,0.92767,0.88004,0.9376,0.60699,1.38645,0.56499,0.97201,0.000462259,0.000462259,0.000462259
75,3521.51,1.37016,0.57752,0.95601,0.93427,0.88025,0.93707,0.6026,1.38568,0.56354,0.9728,0.000445756,0.000445756,0.000445756
76,3567.14,1.39134,0.58617,0.95735,0.93175,0.88233,0.93843,0.60443,1.38429,0.56284,0.9719,0.000429253,0.000429253,0.000429253
77,3612.66,1.36499,0.5752,0.95267,0.93697,0.87662,0.9375,0.60509,1.38436,0.56464,0.97159,0.000412749,0.000412749,0.000412749
78,3658.47,1.37935,0.57588,0.9502,0.9331,0.88127,0.93866,0.60528,1.38746,0.56337,0.97202,0.000396246,0.000396246,0.000396246
79,3704.17,1.37979,0.57642,0.95111,0.93251,0.88304,0.93954,0.6067,1.38534,0.56267,0.97149,0.000379743,0.000379743,0.000379743
80,3749.75,1.377,0.57594,0.95614,0.9336,0.87939,0.93764,0.60484,1.38808,0.56208,0.97192,0.000363239,0.000363239,0.000363239
81,3795.76,1.37126,0.57148,0.94951,0.93392,0.88016,0.9395,0.60584,1.38615,0.56149,0.97236,0.000346736,0.000346736,0.000346736
82,3841.28,1.36676,0.57053,0.95185,0.93137,0.8836,0.94007,0.60444,1.3882,0.56229,0.97162,0.000330233,0.000330233,0.000330233
83,3887.05,1.37659,0.57303,0.94917,0.93148,0.88742,0.93892,0.60525,1.38854,0.56114,0.97156,0.000313729,0.000313729,0.000313729
84,3932.4,1.35908,0.56431,0.95171,0.92718,0.88804,0.93806,0.60483,1.38764,0.55988,0.96899,0.000297226,0.000297226,0.000297226
85,3978.4,1.3636,0.56607,0.94721,0.92781,0.88704,0.93809,0.60715,1.38373,0.55795,0.96827,0.000280723,0.000280723,0.000280723
86,4024.79,1.36258,0.56563,0.94528,0.93075,0.88442,0.93799,0.6058,1.38524,0.55918,0.96893,0.00026422,0.00026422,0.00026422
87,4071.7,1.35998,0.56397,0.95049,0.93021,0.8863,0.9386,0.60611,1.38504,0.55901,0.96995,0.000247716,0.000247716,0.000247716
88,4117.61,1.37327,0.56908,0.94742,0.92956,0.88947,0.93952,0.60528,1.38518,0.55805,0.9694,0.000231213,0.000231213,0.000231213
89,4163.68,1.35159,0.56057,0.9496,0.92988,0.8867,0.9393,0.60594,1.3852,0.55921,0.97025,0.00021471,0.00021471,0.00021471
90,4209.02,1.35512,0.56417,0.9502,0.93231,0.88481,0.93981,0.60674,1.38597,0.55814,0.97084,0.000198206,0.000198206,0.000198206
91,4279.82,1.34499,0.53978,0.9495,0.93037,0.89291,0.93865,0.6055,1.39091,0.55958,0.97176,0.000181703,0.000181703,0.000181703
92,4322.88,1.33855,0.53414,0.9517,0.93328,0.88682,0.93879,0.60439,1.39031,0.55969,0.97161,0.0001652,0.0001652,0.0001652
93,4366.25,1.3376,0.5363,0.94892,0.93218,0.88391,0.93982,0.60411,1.38968,0.55958,0.97135,0.000148696,0.000148696,0.000148696
94,4411.45,1.32607,0.52838,0.94432,0.93392,0.88078,0.93858,0.60421,1.38973,0.5593,0.97088,0.000132193,0.000132193,0.000132193
95,4461.74,1.32651,0.52823,0.94526,0.93245,0.88186,0.93833,0.60447,1.39,0.56001,0.97115,0.00011569,0.00011569,0.00011569
96,4505.82,1.322,0.52868,0.94619,0.93266,0.87901,0.93792,0.60223,1.38944,0.56001,0.97176,9.91865e-05,9.91865e-05,9.91865e-05
97,4549.02,1.31817,0.52214,0.9443,0.92404,0.88486,0.93732,0.60205,1.39078,0.5602,0.97208,8.26832e-05,8.26832e-05,8.26832e-05
98,4592.65,1.3249,0.52409,0.94301,0.92963,0.88367,0.93725,0.60347,1.3919,0.56074,0.97185,6.61799e-05,6.61799e-05,6.61799e-05
99,4635.78,1.31462,0.5223,0.94576,0.9321,0.87978,0.93838,0.60296,1.39178,0.56122,0.97206,4.96766e-05,4.96766e-05,4.96766e-05
100,4679.35,1.31983,0.52327,0.94431,0.93254,0.87923,0.93819,0.60264,1.39171,0.56142,0.972,3.31733e-05,3.31733e-05,3.31733e-05
